report_date,CUSTOMER_ID,bank_account_identifier,type_of_bank_account,eligible_account,bank_account_number,account_label,currency,balance,interest,blocked_account_indicator,country_of_branch_of_account,blockage_reason,explanation,bank_identifier,branch
2019-03-31,B0679FF5EE93FF1B233F0A159E900E0372,00E2AACE46773849879398F0E7DA2238,REK-SPAAR,DGS,D625BBDA75F95971328FF7DB,GOUDEN KLAVER,EUR,5907820,5408,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,D20C2855E75EF0A782F11A68F16E176622,00F59275DDC39D550CE2DBF4E6EBA85A,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,9829459,1471,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,4DD8BC1BC0E90334B02BBD2649B728E3ED,010154F57E415994563C9D1975B77048,REK-SPAAR,DGS,707D0A87735BF7DB39943C48,GOUDEN KLAVER,EUR,6198829,1807,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,C12300747919633261920B4D94391B8AAE,01078D8A42AF215AE1548CA6CF280546,REK-SPAAR,DGS,A1C5EB33664CD33FD969962A,GOUDEN KLAVER,EUR,7792333,123,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,E77B6E22725E39ACA96B43C38A9DA1C9D0,014BF84D2982BF0433D1B13968EDD034,REK-SPAAR,DGS,13C55FD89622BE4A9E3EB658,GOUDEN KLAVER,EUR,9105276,9092,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,4C3215355E1AFA6EB0C5CF1862FCB22991,017B3528A2781BFC2B25C0D475671B5F,REK-SPAAR,DGS,8E5CA7227E73A1B783AB76AF,GOUDEN KLAVER,EUR,3757177,2974,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,BEA34F48BBD2D84777D8E64C39EBAFD68D,017DAC3C24F6F6A157086AFEE02198B8,REK-SPAAR,DGS,95E62F9ACD12AF8FC0511631,GOUDEN KLAVER,EUR,301900,6954,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,90AB9C05D08B01E6DE06160CCBD9DA1CB5,019C1E36E1FB255D7FEB675B7E815C66,REK-SPAAR,DGS,CA910B81932A4BD23C24BAC3,GOUDEN KLAVER,EUR,3508942,7458,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,E024C796D433487D4961A8B8C441550BD2,01AECB1B244A9556DC2F40A5394224F1,REK-SPAAR,DGS,579BB38A0CDAAD69C959F894,GOUDEN KLAVER,EUR,2753615,51,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,7FD98864C5DA76BE6485A136A5049A0FB0,01C6D629154E357430BB9D9077D1F3AF,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,6614975,549,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,5216489C2153742BCC56E7937E941F75B4,01D58302E3AF26D69D795C43B29A2141,REK-SPAAR,DGS,9F0EDC306A6F11D90F57AA35,GOUDEN KLAVER,EUR,3978754,3196,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,01417D094CF829BE77096CEEECAC3CC164,02064AA60ED646A7704FA176FA5F3A4D,REK-SPAAR,DGS,68D8CB6008D54181CA68D5E1,GOUDEN KLAVER,EUR,9474408,1917,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,493F48B73B2D95868A53E1E14B183D8672,02426A9F776C72A2B7E129411F285C5C,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,3461181,5979,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,ADC05D8CD019897CCCE66704C0A9EF7B92,0248CB25C0E104C6DB12FF3DB63EEC00,REK-SPAAR,DGS,FC7A4E3E62C485C043796DD8,GOUDEN KLAVER,EUR,8671098,5135,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,78760091DA2C24CE03886B4AFFB804B571,0252D029E7365364171789B2DFF3DFD1,REK-SPAAR,DGS,1ED73486DC89B00C26E51299,GOUDEN KLAVER,EUR,2456517,7101,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,1E210E9EA79F4F4F530DBF038DBFBE0FBA,0276AF9A1303166921BBF137849B747E,REK-SPAAR,DGS,85F3DA331D5086365B76E7A0,GOUDEN KLAVER,EUR,7356747,452,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,4479A9078F4F017CE09E68EF0B9DA93B51,0283669674AA3093F45771C880733C01,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,1054462,9210,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,DA32BCCB2A66368AB05E3F5DEA412DC260,02A11585BE0246934931C7AAF1F96100,REK-SPAAR,DGS,8A786739737D8127334A324D,GOUDEN KLAVER,EUR,4220714,1495,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,A5225FCF5D737A1E21CBF01BFCB7C1FB71,02B42EA41DC999C45A25D9E4357044F5,REK-SPAAR,DGS,7AFBB789572E8ED1E88420CB,GOUDEN KLAVER,EUR,6491765,4503,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,BC950D606C19C6BC42C6A0FBE6346916EE,02BE4D765EDC77196AA28C22BD67C98E,REK-SPAAR,DGS,4A289A8B52ABD4E900DAABAE,GOUDEN KLAVER,EUR,9145287,9856,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,4749F514B01829CAB7F3C2AAC9A26985B5,02C30371362C706BA51062D9526AA3FB,REK-SPAAR,DGS,BDAE2EACEA91A98AD3AF26E2,GOUDEN KLAVER,EUR,7919682,4261,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,6AB0C0983D34B9B5F1023E5C2FB907CDC5,02CF0C9C9D25F6CAAB66F6A89603572E,REK-SPAAR,DGS,83586A239B6E542713FECD41,GOUDEN KLAVER,EUR,2581834,6901,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,3A7E5239B3E1457834264A85F74CD5DC26,02E8CB5AC95CA68193911B3F1645E4A3,REK-SPAAR,DGS,02F673FB07DE07CE52CE1528,GOUDEN KLAVER,EUR,9505276,3342,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,32E62EA41FA153EA5ADC3F6E6974A0D440,02F927BEA46388D02CF530619E6466AC,REK-SPAAR,DGS,82FB2178294CD9F21FFF6149,GOUDEN KLAVER,EUR,6007007,6524,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,4ADEDCE85AF364648AE9C61CD1CAE501A4,033DA791E01587AC01310CEE868574A8,REK-SPAAR,DGS,A340DDD36947E9D66371177F,GOUDEN KLAVER,EUR,2313729,1487,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,2E173AA075B04B156ADFDB593D21A5CF85,03780B67DC046D40FDDCE7647121F67B,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,251621,8704,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,B703A2D66D190A6BE4D3D068B39E884DDB,03A651A74B7A204D8CBAA304D5853923,REK-SPAAR,DGS,0B98055FF23BFC3BDED3B32C,GOUDEN KLAVER,EUR,5253248,3381,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,9A03F5A03E812204DAE87143DADF6981F5,03B1F159484335D3C688B78F6DB8400A,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,955902,7909,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,E333AD823A2A0E102EB7DC1A32D67C3637,0406D5DF1A675359BB24E336C062A085,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,8856116,170,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,BA4275957861B323B517D47A0F39E3583C,041052A4744A6A3E5242D8418ECFABD3,REK-SPAAR,DGS,F2D002C6E0E14C5851798D2E,GOUDEN KLAVER,EUR,9272274,5894,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,22DBEDA6ABBA78858070CD05456EA93AA5,0413C7E0D28A502CBF993E9FD9C2B912,REK-SPAAR,DGS,47D8FD2356C1E67802EE95D4,GOUDEN KLAVER,EUR,9942292,4365,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,BD6AE4D1F4A7B589A5E7228B963BE00148,0418D6E76379C70E03FD34C0D71EC956,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,5293215,3944,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,42E67C847248BD2D6B47F2B61DAA4BEF59,043CEB9AD8CA096D92158BF808D0B58F,REK-SPAAR,DGS,FC69D06E383CCBD4D314BDEC,GOUDEN KLAVER,EUR,4289342,6590,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,9D12E66EF36219DAFA0B3E548ECA69B89A,0440550984DF996EFCDFA5B748EC3065,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,2791617,6252,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,CB3983499320390C335FB75606DDF33098,0464EA8CC2B20A29AEA0B0EAE844CE39,REK-SPAAR,DGS,324C09C76002C2A44EBF5D7E,GOUDEN KLAVER,EUR,370271,1096,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,04D7439CC1C2DE2E4BABF782B9C9BB80E0,046C312FB0898D05B4B20BAE52BF7F44,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,8353999,2466,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,7613B2725AEBAE35FF93719002AC391B28,0496A37F0CD707633BA7C348B04EA5EB,REK-SPAAR,DGS,B8D63908DBFA71A80E5E1E05,GOUDEN KLAVER,EUR,3585308,30,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,4C143C79F36D9118A10238E7694B5BB30F,04B7682B6988AE01B0A29781598DE26B,REK-SPAAR,DGS,EF6CE3AF191B383817E7CBFD,GOUDEN KLAVER,EUR,7945036,6892,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,153D63E6A3B5040FDEC6392F259E2AE944,04DBCFC19B7AC3E4D38FE953F654310D,REK-SPAAR,DGS,D0932EC6DE7881E60B74B84B,GOUDEN KLAVER,EUR,9693935,7747,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,9B5A4034FDA64F925DF2BCFACF6D383B5C,04EA166EB2F298F15B4D3A92283C2D99,REK-SPAAR,DGS,C20F81D221CAFCE4945E60ED,GOUDEN KLAVER,EUR,8501505,5277,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,8BE5005367A2A679920EC3B8F534AE594E,04F3FFFFF3B116F748FFA93036B793E3,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,7604035,8893,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,D2C85A9EC46A9B99FB742A7DD253E60538,050205690EE2421EBF021C54090DC699,REK-SPAAR,DGS,802BC60B4C059F591AFE70DE,GOUDEN KLAVER,EUR,5710859,8359,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,5769B4A04FB0069629FA3F1168F27AB961,050405D8DAB890CBA2E6914ED9855837,REK-SPAAR,DGS,FC3683FB915A15E639B1A216,GOUDEN KLAVER,EUR,4293693,7821,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,A2F5E38F077F437F208F612C382CA72913,0512509F69FC189CD141A6BC41A353E8,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,2749049,8676,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,F3A90838896B6A38771D898F8BADA57BFB,051551A6E0D22D9B4B594FF823AD47D2,REK-SPAAR,DGS,46FFFC3DEF962B3A6DFFBF45,GOUDEN KLAVER,EUR,7869597,6975,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,69B799287404554D876205FA5DF6DFADCB,0527EFF5C9CE3F7952000CD101CC3A69,REK-SPAAR,DGS,95777CC4E16B99AB47BC1058,GOUDEN KLAVER,EUR,8059935,1494,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,5F8BAA9F64D8579C06DB8CC8EAE7554C70,056A32EAA786FB8136C5577F7C97BAD8,REK-SPAAR,DGS,CE9425CF891B95669C7062FE,GOUDEN KLAVER,EUR,8768600,2232,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,96BF7E1BAA5A0C667456C913BBC7650185,056CC2618B012C8EB4A1C3EA5B2D5B0D,REK-SPAAR,DGS,B824150971C449090ADACCF1,GOUDEN KLAVER,EUR,4352242,159,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,3A02CF2E25E7E8537F6A3B04E53E18ABFE,05A749C28372B34B2E691EDD6D5181FC,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,4142905,9310,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,C2EE790751784B9328E4078A7F603C82D4,05BD1A56162C8F8B937FC51926157757,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,7492619,6596,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,ABFD6B83EED25B62FB9D1586944024E28B,05BF7043D9F8F1CF9F1F17302DA14C14,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,5016803,5600,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,B0FC1587925486657AD5FB71BFF06615AC,05DAFC069C824939AC3818387EC0E2C4,REK-SPAAR,DGS,4F50CC9AD4F7E5B58AC7A68E,GOUDEN KLAVER,EUR,7204134,506,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,9D12E66EF36219DAFA0B3E548ECA69B89A,06153045B8F392EEC86C9BAD09082AD9,REK-SPAAR,DGS,7B2047D124478DDC8B82978F,GOUDEN KLAVER,EUR,6999041,1406,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,CC843F2BAC7F7F878B861C155FDBF9ADB2,06157AD1106F0D99D7A42A9C3CC768FD,REK-SPAAR,DGS,A9067B73DCDA9EFAC82F8DAD,GOUDEN KLAVER,EUR,8265170,5414,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,C0C8D9604849EFBF12C003F038A07B9C13,062D15341706E130352E1BEE707913F4,REK-SPAAR,DGS,1BE49D536D3957725650D65A,GOUDEN KLAVER,EUR,6731721,9306,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,FB686065C70BF232D07115356A3D61F14D,063802804E5F401C9A59CE4F341E16E7,REK-SPAAR,DGS,768F6F1146803BB2B8F56874,GOUDEN KLAVER,EUR,5478506,6004,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,2E173AA075B04B156ADFDB593D21A5CF85,067B23497AE06FF75F0C9AC66CF411CD,REK-SPAAR,DGS,D33675FCD28490805D428FD8,GOUDEN KLAVER,EUR,2718645,5369,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,5C526949B8C0017B19BC89ED6FDFDEC25C,067D5A1E7FCEFF1A6F361B976F96D524,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,6197539,4446,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,EC64C80EF5CA11B9961B6F661A5A24AB1D,06AF5C94C6C496E4A52E5012A25911F3,REK-SPAAR,DGS,75B9AC15CE5AC0A35D59EB71,GOUDEN KLAVER,EUR,9463699,5886,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,08DFDB21646E459215F2A1235D59B0F920,06F9A52E5BB1D8B831613A0C398CCC55,REK-SPAAR,DGS,DB9411C01BA404B6E7306776,GOUDEN KLAVER,EUR,1460224,8795,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,16C86BDFCEA5C560ECCCE6214EEC4FD48F,070AB13F7E5291A605C18819C6962C27,REK-SPAAR,DGS,E40864B773C86030759DA3EE,GOUDEN KLAVER,EUR,9422112,2358,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,08787AE9964ED446C8D420D457AD25FD41,073247134FCEAB4A14B6F1FF1F3EAD27,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,2499131,2481,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,087433D8D30D23C83A0D40233E739F62FB,073DA4B02094F582C4D322733C64D718,REK-SPAAR,DGS,9261DD13996B5D5349DC6C14,GOUDEN KLAVER,EUR,3010822,1156,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,42B2591EE5D40A57D5FE23CDBFE068A01A,074F27D00820040E2DBC1BA1C31D7BF2,REK-SPAAR,DGS,88CA4AADCA611F2E5132ECF6,GOUDEN KLAVER,EUR,5716618,4237,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,0E0F3CA215C421CA367B5F0E819FB3EB9A,075E4B7BBECD732A1457FDB40887F148,REK-SPAAR,DGS,8E2067682F5F0D2C2071AC1A,GOUDEN KLAVER,EUR,3217792,2417,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,161B5D1FD61B89181EABD9A7D53FDF3B20,076026B91FB7B123260C639752E70F64,REK-SPAAR,DGS,17E0F8A2025C5DDD97306677,GOUDEN KLAVER,EUR,5176298,2990,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,644CB99366CB636D4715FE240340754B18,0767187A23BA5D0CCEA41BA892864950,REK-SPAAR,DGS,63C209D76A71021F7EA85C7B,GOUDEN KLAVER,EUR,5320528,6076,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,C55C89388B0BF56306D294DC6A16017A25,07711BB2DC74310E55813149F276DCA2,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,988543,5987,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,87AA60D6915256850542D7C3717C2F6204,077667A7D994F925476165249A370657,REK-SPAAR,DGS,F0CFCE41061FE138C7731944,GOUDEN KLAVER,EUR,4547021,9760,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,E1123BC86C21C592A2CF1AC81185EBD728,078C0E0339A01151F470E9FE2E796CC2,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,7901160,8252,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,1F5809CBDB92C0B43267BFCC3E17D24258,07EA7430733FC3EE56BF7EB3A87772E3,REK-SPAAR,DGS,B532083761C2039D04BE29E4,GOUDEN KLAVER,EUR,1002668,6803,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,08B31B62BEB63336F9896E54BBCED9AA6A,08021B282C28812D05EE786F0827AAE7,REK-SPAAR,DGS,2EFDFA9FC0EC0E69A61B9A87,GOUDEN KLAVER,EUR,8229167,3874,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,32321D33EF0F82A4CB99B030C91A087FB2,081472D12A943A362BA1CC253EECAA46,REK-SPAAR,DGS,5A8434A54B3E89D1C3EBEAE5,GOUDEN KLAVER,EUR,7370446,1010,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,6B3AAD0D592023AE22FD900DA407CB2D97,08941C9534E49A1E27D89491383BD557,REK-SPAAR,DGS,0C1C5D6C34D8EE85E302339A,GOUDEN KLAVER,EUR,3906768,5941,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,115B7D4BDE9DE1CCBB89110B860B1E73F2,0895CB9C2741C7B084DF0289C99D8FE2,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,1000732,9311,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,14FB3CB245D70A751F3700D02DD2FB4228,08972F5BFA2CD705349127BFAB917BFF,REK-SPAAR,DGS,16F5D87657F9C98346A93E25,GOUDEN KLAVER,EUR,128585,6898,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,06FE4C96D54D295BF76BF95EB0E7E6B176,08E152F9C43D1C39241331FD3F84DC77,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,8983073,7508,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,AF6B02AF263DF49B079C165DB7B659F3F3,0923A1F292BAAED0460FECD62C55C29B,REK-SPAAR,DGS,0F081BF3E0C9B59311F8C829,GOUDEN KLAVER,EUR,6640331,3962,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,C3E2049A8B60F74AC0A46FDD9A5C69E72C,092A9E5F2F2DA0D30BA860D752A55814,REK-SPAAR,DGS,A51E6EF2524E3F5930F920FB,GOUDEN KLAVER,EUR,6790483,8561,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,78760091DA2C24CE03886B4AFFB804B571,0934272AC1E253D236947274B3A92D14,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,6248131,4124,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,7AF5F9F9BA3B8D633EBD73FCEC2B4A9458,097C07D4F7091F66A73F231B3010ADBB,REK-SPAAR,DGS,2687AF35219C28912C36937F,GOUDEN KLAVER,EUR,7002946,6314,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,20417EB7B9FDB423D97798F8FCCC0C3E1A,097FEAE83CC5725BE1D1FA9D049350C7,REK-SPAAR,DGS,94951D2B5B65DEDBA83029C9,GOUDEN KLAVER,EUR,6696949,2694,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,9144A59177F72BEFA8B83FD2FE11E19ED6,099DB013DFF977B348BCFAFF7E07A39C,REK-SPAAR,DGS,9D75D718D5C701CBA7CD014D,GOUDEN KLAVER,EUR,639310,9554,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,4543F6E3DCB344D0F8142DD17590CE6B8C,09B44191B309B9FD6CB20A45881BA6FD,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,5814652,6443,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,CFF83C917C9E0F799E4CE2B0B282FF7011,0A0F2382AA5943B8256C260AAB640641,REK-SPAAR,DGS,244E07AC38840F717213E45D,GOUDEN KLAVER,EUR,4018349,6639,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,B6585B1E6F9FA24D75BBBB7B35268CA4E3,0A1F8BAB57C2A6ED0C8A6A73A5C81C5F,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,8090002,9532,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,C642E009FBAEF6ACB8D076D8759B8D873C,0A2975CA68E063BEF2EA3EBEB41906E6,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,4299728,2667,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,473C0CF230BB1B8A26B8871A91C545CB9D,0A424C9442BF52474F0082B67D6FA74B,REK-SPAAR,DGS,8DEBCCFD1BBBEEA2BA252F9A,GOUDEN KLAVER,EUR,3360853,1382,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,352AD1DE1F6CB21B7AE05EF0B3BCB8633C,0A610DEF8BEB7C539665940635DA32E3,REK-SPAAR,DGS,66591B3FCED3AA9DA11202A2,GOUDEN KLAVER,EUR,4396551,8334,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,78760091DA2C24CE03886B4AFFB804B571,0A859648E9C5716BE5319FFAC554592F,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,1248189,5762,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,BBB277B0697C45CE855CC51C149AB8214B,0A8CBFDD597D2DFC9508F3B8DDCABD13,REK-SPAAR,DGS,1790BF514FE3781C78F7C4CE,GOUDEN KLAVER,EUR,5409964,397,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
